"CUSTOMERNUMBER","CHECKNUMBER","PAYMENTDATE","AMOUNT"
676,"KY5285093281",21.09.2006,953,91
558,"FJ7883683040",18.01.2007,314,26
570,"OK2681544627",23.12.2006,212,96
1119,"CC9790876616",15.05.2007,643,1
1070,"UD7729881028",24.04.2008,682,63
532,"QI8543809813",13.04.2007,744,24
691,"XI1545448705",31.08.2008,389,88
1058,"TT7134823060",15.04.2007,486,82
1020,"MW5668471784",09.08.2006,750,52
808,"DO3538167186",08.11.2008,992,33
1209,"WW1736881510",18.04.2008,606,05
1004,"GL7829775045",02.12.2006,883,25
805,"NF9095945365",10.09.2008,435,66
822,"BK3740946276",22.08.2007,279,77
523,"KT4216393805",14.06.2007,745,53
1144,"GY8502315296",06.06.2007,447,8
701,"OU4126261442",28.09.2008,409,21
552,"CN2244335966",22.01.2007,932,54
641,"LL2342738867",08.11.2008,386,28
1114,"EN6940893965",01.09.2006,700,09
1230,"KO0045844565",08.06.2008,433,33
745,"VS3145970686",23.02.2007,904,38
873,"OI4470873579",06.11.2006,585,7
1054,"QQ2797710550",27.11.2008,448,16
1004,"KD5203993622",03.04.2006,387,68
1206,"BR2084814153",10.04.2006,762,11
714,"TC4170184645",05.02.2008,926,54
970,"RV3359238889",16.06.2008,441,53
570,"HP4953444953",12.11.2008,737,41
1186,"QH8289565870",02.10.2008,797,42
506,"AS2602706307",31.03.2007,835,22
854,"VL5092951944",03.04.2008,856,75
988,"VL4419069027",15.09.2007,355,26
931,"FW7923549730",18.02.2008,926,68
545,"QJ7988190920",25.11.2007,785,31
943,"XY3003887949",26.01.2006,777,39
973,"UO9761758265",21.06.2008,209,6
907,"WC6253180761",12.10.2006,241,67
545,"AI8312890860",16.02.2006,798,9
899,"DC8607516227",23.11.2007,230,84
734,"NT1575229456",26.02.2007,831,87
629,"RQ3295694154",26.02.2007,473,22
860,"LQ4399598509",23.05.2007,257,93
691,"GY7824898158",04.09.2008,744,81
999,"BZ2989803450",17.11.2007,875,3
712,"YG0377713676",08.11.2006,231,28
1189,"WH3561895199",08.08.2007,838,04
623,"RU3821365129",14.06.2007,586,12
917,"LR4372051585",26.07.2007,277,26
1276,"DS8842456592",10.04.2006,682,56
1174,"DR9632368012",07.09.2007,978,16
897,"DD9657001328",08.07.2007,243,44
991,"OD7146418545",08.04.2008,538,18
1101,"CS6427767466",19.07.2008,329,63
1295,"GK0205455367",10.11.2008,896,98
621,"AR9035656080",02.04.2007,317,49
1087,"ZN1842890069",12.09.2007,429,71
584,"BI5161427672",26.01.2007,752,54
631,"KX9661148256",21.07.2008,570,12
1153,"KR1129551930",16.09.2008,580,72
562,"RY8390709169",23.03.2006,843,68
1000,"KK9700779479",21.09.2007,577,09
683,"TO9003398463",30.07.2008,479,72
1039,"WE9899063592",07.01.2006,368,93
713,"FX5991914316",07.06.2006,695,5
1090,"EW0332799226",15.09.2007,730,58
1064,"YJ9015762922",22.01.2006,749,32
559,"VG8734392379",26.04.2006,667,37
861,"SC9460762740",03.01.2006,393,55
1187,"DB1289559930",09.07.2006,248,92
1080,"MN3838358350",28.03.2007,876,33
853,"TO3201245420",21.09.2007,454,1
814,"JN0100562087",06.07.2006,787,75
1180,"FM9681269129",06.07.2008,496,59
724,"YQ2424723092",30.01.2006,874,62
573,"DX1716065159",12.07.2006,862,54
1205,"TU8078810921",23.04.2007,909,53
1091,"KS0867586234",27.01.2007,662,83
501,"NV9348459378",26.05.2008,839,78
1034,"DN6707637944",30.08.2007,526,52
1129,"GI3108929137",01.10.2008,415,53
1064,"ZP0732841990",24.04.2007,395,73
578,"FP4074628728",30.10.2008,949,62
919,"CY7526332988",03.02.2007,869,22
1159,"ME9533989656",19.05.2007,847,74
562,"IM6573447549",26.11.2006,837,16
1110,"SC7102380046",07.12.2008,912,25
823,"QT1922522273",14.09.2008,299,93
550,"OA7843621476",30.08.2008,822,85
1249,"SU2050698969",14.05.2008,321,3
1075,"XP1979077309",08.04.2006,474,31
868,"DU4120257766",19.11.2006,479,48
568,"LV1432216474",26.08.2008,462,54
1150,"ZD9996911654",23.12.2007,398,42
1080,"JX6866575112",21.02.2008,401,84
644,"AR4273987491",22.09.2007,818,51
683,"TW6687876416",08.07.2007,977,91
735,"YI1428000053",29.01.2006,447,48
612,"SE8296958219",18.06.2007,346,46
763,"DY1146389644",15.09.2006,769,76
1300,"YZ2410667855",11.10.2007,720,56
1173,"KE7512283183",29.06.2006,939,1
1077,"ZL2123741212",03.11.2008,608,97
761,"UI3115672444",20.03.2006,877,43
651,"LR7292297098",06.11.2007,412,01
1049,"GK4470360979",29.04.2006,412,19
719,"TW1445174190",25.11.2007,613,37
523,"SD2758635865",28.03.2007,946,34
888,"JI6021063014",29.01.2008,864,96
1286,"FI0424265471",22.04.2008,225,79
1163,"DA7041294084",30.05.2007,703,2
604,"XY4942047425",13.02.2006,292,9
532,"BI3386148231",01.06.2008,708,52
693,"WO1026692850",09.07.2007,949,83
847,"ZH7758924749",26.09.2007,473,42
810,"MH8822394972",16.03.2007,440,54
734,"DD9055733748",27.06.2007,229,38
1170,"BX7655872676",06.02.2007,856,46
1080,"ML3068632906",20.09.2008,649,58
955,"EZ2614959011",20.10.2008,422,52
530,"UL3251445495",28.07.2007,842,24
1091,"EA6243363396",01.05.2007,774,28
714,"AS6227599603",13.12.2006,527,5
1190,"CT8612277314",15.09.2007,653,91
1214,"HN2599218916",17.11.2006,301,86
953,"YK9572926150",05.03.2006,568,9
1128,"QC5778094615",18.01.2006,785,26
903,"FC5550531342",07.04.2008,335,79
1080,"EL6968082603",25.01.2006,768,24
913,"QN7178731557",13.02.2008,711,43
1205,"VV7147143434",22.06.2007,880,66
533,"AN7223330727",04.10.2007,753,82
561,"OH4439999867",12.11.2008,639,18
509,"JX3047923683",27.12.2008,997,95
524,"FA1465136698",26.11.2006,446,13
599,"TD2918544632",01.07.2008,634,18
938,"CV2639979786",02.05.2006,460,95
1216,"DN1793472598",10.01.2006,682,2
1209,"NX4060653532",30.03.2007,693,73
887,"HN4946994219",28.12.2008,318,6
667,"AU3901258584",09.01.2007,630,77
510,"GV0957575299",11.05.2008,483,82
993,"YM7916240485",20.10.2008,443,24
1150,"FB4397231759",17.01.2008,521,67
1134,"RX1461214073",27.02.2008,803,2
1066,"OE9152530890",11.10.2008,735,29
899,"KE6898340741",11.03.2007,784,73
1028,"XB0764231474",02.08.2008,832,77
755,"GG8375070435",18.07.2007,712,75
858,"OO1866946500",01.05.2007,529,42
822,"XU0121772289",23.12.2008,589,51
793,"NH2270158448",30.09.2008,924,81
880,"IS5081174120",28.10.2006,725,46
583,"PU2574689256",05.03.2007,530,02
1222,"SM7433278835",03.03.2007,480,58
633,"FB4466951538",01.05.2007,432,65
566,"EO9749277830",05.05.2008,632,04
1278,"BE1778044979",06.10.2008,308,59
721,"SL3074362468",11.01.2006,276,25
1252,"IU2993328670",15.09.2006,863,31
817,"RJ1668039395",02.09.2008,994,65
1182,"AX0138130935",28.03.2008,469,07
814,"UN7131689557",24.10.2008,718,53
1250,"VR1810924353",30.11.2008,301,3
897,"KY1203285881",06.08.2007,360,44
995,"KG6511799209",10.08.2006,823,6
741,"SP2526461492",26.06.2008,499,6
876,"MJ9064388188",12.05.2007,670,1
909,"TP1117654838",10.02.2007,253,46
657,"HR9665853548",08.02.2007,481,38
1145,"ZC8560433648",11.05.2007,597,88
797,"UT0814693923",29.05.2007,314,11
629,"BN1788456199",16.09.2008,458,61
1206,"QW9445239479",31.10.2008,313,27
1086,"NT9991544959",11.05.2008,937,28
1111,"AZ8494982839",02.11.2007,861,77
928,"IS7071441756",20.01.2006,909,04
955,"DI4480835172",12.07.2008,454,89
672,"BT1885555960",08.05.2008,981,36
716,"YM1270263225",23.11.2007,733,99
1053,"IP4525272393",28.09.2006,290,25
892,"VI1050143980",01.02.2008,910,38
600,"FA1191683313",03.08.2006,875,09
637,"YC9053515486",05.06.2006,658,92
627,"US2225117591",25.10.2006,872,59
1038,"ZQ1863499374",26.02.2008,719,42
734,"AU2729315014",13.05.2006,746,92
1205,"XD8302751082",28.04.2008,356,78
652,"KS5502340866",28.03.2007,486,05
789,"GH7005656684",01.01.2008,949,94
769,"CG5065043699",02.06.2006,783,38
988,"AD5814224216",11.04.2006,956,34
566,"YX6026507168",29.05.2006,747,93
713,"EF2607345906",26.05.2008,979,42
509,"TR0892414521",30.07.2006,889
1147,"AP9436138100",17.07.2008,706,37
756,"DR3942988707",10.07.2008,857,82
651,"OS6632867024",25.03.2006,926,64
1128,"YA6300708703",07.10.2007,543,72
514,"GC0891888493",08.04.2007,543,51
817,"VU2270417521",25.04.2007,870,84
733,"XO6257555286",04.02.2006,896,86
1026,"AL7923098361",10.05.2008,470,41
1026,"RI5314440815",06.07.2007,280,27
1233,"DJ1937137429",12.06.2007,962,59
1099,"QE8194718008",15.02.2006,702,83
646,"UJ9155144611",22.06.2008,725,35
544,"EA6202575203",24.01.2007,774,65
1229,"RD7438646735",02.09.2008,998,02
626,"FE9590206657",03.10.2008,723,94
551,"DV1019227294",24.09.2007,423,6
528,"IE7841834273",12.09.2006,444,66
856,"PC3589334669",03.07.2007,916,56
741,"NU9217262777",24.02.2006,766,29
902,"OK3940861285",09.07.2006,511,96
1161,"BN7132388532",17.05.2008,289,36
698,"YM5654918972",30.11.2008,246,27
807,"KT3217113823",31.07.2007,385,98
1021,"DI3391147358",26.10.2006,802,41
866,"FG0577329475",06.09.2007,579,92
853,"KF1649884784",22.06.2008,859,22
1101,"RS2379817386",04.12.2008,338,09
1113,"TT3810670652",01.03.2006,277,98
626,"TU0396628845",18.05.2008,582,56
1176,"HY4601121598",30.10.2007,481,27
910,"SO3592882222",08.02.2006,214,17
709,"NX9074050837",14.03.2006,283,66
632,"ZW5317762697",05.12.2006,875,82
960,"BC9932210065",10.06.2007,667,44
572,"PG0943961143",14.01.2008,330,28
1230,"GO0392924399",12.01.2007,815,28
793,"LB7970327196",09.05.2006,825,18
973,"UE5669546912",22.01.2008,357,03
625,"IO9014027725",28.07.2008,928,42
865,"RS8739161702",20.03.2007,318,48
817,"AV8521586173",03.10.2008,776,91
860,"DJ8839088887",04.04.2008,719,47
561,"VJ8166357686",07.06.2006,753,85
682,"FT2161274915",22.02.2006,809,84
708,"IO6379938106",20.06.2008,334,24
1225,"AB8407673112",24.01.2007,804,62
891,"XD0973473199",26.12.2006,470,33
796,"OJ7842775360",16.03.2006,334,13
856,"UD6156566157",29.06.2008,277,76
632,"DM2181204562",27.06.2006,509,09
607,"BX4187361847",08.08.2006,576,53
880,"YT6703419180",14.11.2006,568,11
1099,"VJ9997900847",28.10.2008,693,12
574,"KD1215824271",28.06.2006,371,53
587,"VG6866741704",20.10.2008,485,61
920,"KJ7630237159",09.09.2007,785,42
566,"TN4563720366",25.10.2008,868,19
1226,"AN3800533160",18.09.2006,709,55
856,"TL8996631774",22.05.2008,830,42
809,"YC9274817420",25.10.2007,793,61
771,"XL9989122540",06.08.2006,322,12
801,"LV0917801130",23.12.2008,410,38
1109,"PD3440089153",29.05.2006,857,25
816,"NZ5469002710",26.06.2008,456,4
512,"JL3644272189",11.04.2006,528,92
532,"LP9515318798",15.05.2006,687,78
988,"BL1939009657",05.07.2008,570,08
902,"UY0022109109",03.09.2007,413,67
1101,"AM3828536826",02.06.2008,698,46
633,"BQ8075374565",12.06.2008,918,26
563,"TV3468190197",04.03.2008,688,26
762,"BH3124692025",04.10.2006,811,65
1174,"NN3599041739",09.01.2008,376,48
968,"FY4359365475",04.12.2008,268,37
799,"XF3553232418",28.09.2007,880,06
781,"MI9622749792",24.12.2007,655,72
834,"YD9872421214",19.12.2006,226,93
1186,"DY5065499610",06.10.2006,625,81
862,"QW9947055213",15.04.2008,934,31
1163,"UN7962242679",02.01.2006,598,22
964,"FT3270316429",16.09.2006,558,75
707,"QI1406991844",01.08.2006,947,5
704,"LH8364731869",28.10.2007,932,95
981,"IF1086839262",02.11.2007,974,11
572,"LA2524486158",02.09.2007,559,83
1110,"YW1817741942",14.11.2008,536
1020,"GW6057811831",24.03.2006,686,79
593,"IZ9911586927",26.12.2007,696,85
1284,"SB0999806870",27.07.2006,600,23
1180,"GO4238527205",05.05.2007,957,37
876,"AL3476817988",11.01.2007,497,08
959,"KL0919026314",17.07.2008,426,57
1144,"OZ3761271204",03.09.2007,567,65
1229,"RR5263525769",21.05.2008,513,48
840,"KO5490520053",26.11.2006,705,38
855,"XA1890653243",08.08.2006,823,77
522,"TR6107880071",20.09.2007,997,32
641,"DJ8660371762",27.07.2007,979,87
1098,"CI7826463560",07.06.2006,894,23
1090,"TJ9407428846",13.03.2007,500,63
847,"BL3864675662",16.12.2007,359,13
1121,"DE9916342117",26.07.2008,923,48
1065,"IH0193782977",25.07.2007,601,06
578,"MI1669877643",06.09.2006,882,13
514,"IS0168549487",09.08.2008,463,76
907,"UX9362731421",12.12.2008,510,89
622,"UL4034253001",05.11.2008,407,77
1026,"TM9726964475",15.03.2006,590,41
1159,"JM9178611024",21.08.2007,951,6
913,"HW2825018520",15.10.2006,521,03
871,"LH7155040126",19.04.2007,868,8
710,"AR3890411068",20.09.2007,563,65
965,"NV4148107784",02.09.2008,825,64
951,"TA1678149669",01.12.2007,874,17
530,"OX9363267739",28.06.2007,940
1287,"LN2957343353",22.09.2008,523,11
1293,"NM4200025967",20.06.2007,391,52
942,"GY9075346262",25.05.2008,989,76
1293,"MF8389683788",17.04.2006,970,47
563,"MX6705100783",30.07.2006,400,07
848,"WU2791922511",11.03.2008,367,13
1269,"LJ3295417309",23.06.2008,485,68
832,"GS1992982594",13.04.2006,320,51
792,"FX2625195345",13.02.2006,535,48
1150,"TL8300435671",14.07.2007,724,38
1241,"UA0808630189",22.01.2007,531,31
1044,"AQ8439813646",29.09.2006,667,57
1106,"HF9247970993",25.01.2007,264,83
600,"YG7460445541",21.04.2008,425,38
707,"VL8920241603",14.07.2007,767,3
1136,"PL2996752981",12.11.2008,663,41
856,"CN9011870424",20.03.2008,300,51
805,"DL2721112274",10.02.2008,215,48
1111,"MU4711222693",26.06.2006,504,01
903,"ES3952792669",18.06.2006,604,03
1226,"KR6587237391",12.07.2006,924,52
520,"IN3123520927",23.03.2008,436,15
897,"OF6864256462",28.07.2006,311,27
688,"PV5574218609",02.05.2006,775,66
1225,"OM1908869950",19.08.2008,203,88
543,"TK2562904731",27.09.2007,419,81
599,"IK1021828646",21.08.2008,312,29
864,"RQ2946126925",05.03.2006,539,11
732,"AL3395194420",23.04.2007,640,66
542,"SN5584477497",27.08.2008,628,96
1128,"TT4597433301",07.11.2007,493,87
567,"UK2765974332",28.07.2008,614,58
1264,"BS8427271662",18.12.2007,870,57
862,"ZM6461788030",18.06.2007,902,69
801,"CQ3743784674",18.05.2007,545,48
1155,"KQ6210755544",02.07.2006,830,14
631,"RO1466582432",10.03.2008,420,94
891,"NO7269635329",17.05.2006,372,48
816,"DN7235109480",26.12.2006,939,77
784,"LG9069461861",18.05.2008,995,69
674,"WN0508585578",05.12.2007,941,54
773,"GY8795005675",08.04.2006,809,98
837,"DB5117246265",30.06.2008,767,07
824,"VM2945831738",15.08.2006,765,41
709,"CY3413711344",04.10.2008,321,01
1080,"QI8957671569",05.01.2007,969,69
872,"ZU6664711141",28.12.2008,836,05
1259,"DX6470082030",13.03.2007,950,7
796,"SL7287375496",16.06.2006,300,11
1206,"ZV1827352080",13.09.2008,888,26
684,"OR9034664137",03.04.2007,753,65
600,"IM0891247292",23.08.2007,946,85
571,"LX5710720825",15.09.2008,395,99
555,"WA8698810044",09.01.2008,903,48
619,"MJ7322087250",07.10.2007,496,11
910,"RC1648823906",01.08.2006,735,08
880,"VQ8271797396",19.09.2008,748,49
962,"AX4528732072",12.09.2008,355,38
1207,"MV5931954418",24.04.2007,384,03
774,"GJ3300580579",21.08.2008,923,01
1162,"FO9275639104",28.01.2008,702
1278,"WL0035361740",02.11.2008,331,68
744,"SP3488401439",24.12.2006,773,82
774,"KU9689099560",06.05.2007,886,02
664,"TL8398841088",26.01.2006,934,62
968,"AI9282701511",24.07.2006,620,48
1194,"FL5602865634",08.02.2006,578,18
810,"UF9600476742",22.05.2007,871,72
608,"VC3943290295",30.05.2008,347,85
1222,"PC8903601502",18.03.2006,432,42
977,"EV7814958480",13.06.2007,327,69
1058,"TB5363625502",10.05.2007,530,28
637,"FG3962004792",16.12.2006,728,49
711,"SU4621587390",20.02.2008,654,63
1113,"LN9196061990",04.09.2006,486,54
964,"SJ1947060718",08.10.2008,932,98
757,"HX5869413334",03.12.2008,396,34
716,"UK2812747190",24.09.2007,799,62
518,"BM3525294049",20.12.2007,608
894,"VQ0355179473",17.10.2006,659,09
514,"FD7829844195",20.11.2008,257,11
825,"PJ6660878356",08.03.2007,983,12
705,"CG6718490821",13.07.2008,785,02
959,"IC3620114329",07.02.2007,479,86
562,"JW6709015890",21.01.2008,247,61
563,"EZ3775402937",18.03.2008,922,01
691,"UU9119140170",15.07.2008,911,55
965,"IZ1494733579",10.03.2006,218,22
1025,"RL6247697749",20.02.2008,687,16
589,"PB9771676866",10.10.2007,373,81
510,"FK2483871356",18.09.2007,625,79
631,"RK1295123002",21.08.2008,784,95
612,"HI9639787138",19.12.2007,283,47
702,"BQ0934710336",23.01.2008,595,74
1281,"JA5921637416",12.05.2007,762,95
1070,"RQ2251283306",21.09.2006,460,14
1102,"SC0382837272",10.09.2007,268,15
917,"TK9041405930",01.09.2007,441,15
1253,"XN5264878570",10.06.2008,278,33
522,"TT5528397471",18.05.2006,802,25
664,"OO1139624299",16.09.2008,834,29
878,"VL2222767674",25.08.2008,750,35
1276,"UE6178260349",29.07.2006,564,46
793,"KE0632328428",16.06.2006,624,26
919,"TC3791464500",02.03.2007,224,62
1186,"DE2543066226",09.05.2006,239,59
797,"WS1563913055",01.06.2007,925,91
847,"ZF8677673942",11.09.2007,348,2
763,"PP2196575402",01.05.2006,732,58
663,"HO5024447059",04.12.2008,499,61
1254,"HB1299915810",02.09.2008,373,09
604,"NR7240236241",26.09.2008,851,34
659,"UR1132365661",25.01.2008,480,04
1186,"OQ6041691299",15.03.2008,317,51
702,"LP6575915165",26.09.2006,298,18
1186,"QL3289036506",14.04.2007,316,4
1294,"RH8842218459",11.02.2007,432,3
885,"HB9291058044",07.05.2007,533,19
556,"QL2626737142",24.08.2008,395,89
1201,"QT7906086792",07.02.2007,797,65
799,"NM1919205824",06.12.2006,314,64
1292,"LU4485517830",14.06.2007,843,85
808,"PE1833715458",30.11.2006,390,97
920,"MG5735764403",10.07.2008,416,73
661,"LP8073481238",02.05.2007,491,73
667,"LJ3836294211",14.01.2006,568,46
1082,"DD1009775769",10.05.2007,335,3
695,"EA5244063159",19.08.2008,898,95
904,"VI7752167029",23.02.2008,673,04
702,"WL3272572000",23.01.2007,384,79
817,"JU5561956999",17.01.2006,437,04
1227,"QY2612023674",18.04.2008,364,43
748,"BJ6487494497",27.08.2007,906,36
680,"ZF5416735589",03.12.2006,651,87
1028,"NG0202313238",05.01.2007,784,37
671,"WR2682897935",25.09.2008,684,68
763,"UL7143264751",21.06.2008,922,25
517,"RK7233934453",31.07.2008,929,95
1201,"VZ0281481828",13.03.2008,726,19
1293,"MI2885169873",01.04.2008,519,08
963,"HN3125968105",02.04.2008,491,69
808,"IP6814341164",09.10.2008,710,62
1019,"OO7106703210",12.12.2006,272,3
1023,"ZP9665703497",16.05.2007,541,88
558,"UK5299513645",29.03.2007,459,43
743,"JZ5904547343",30.11.2008,769,46
637,"VV4931626304",16.12.2007,475,66
835,"NR7246992558",26.06.2007,373,74
552,"EE9178114094",13.08.2008,315,9
1241,"IG5649472518",15.03.2008,754,17
950,"PR2456121463",23.06.2008,759,34
532,"VO3467273754",20.09.2006,529,32
521,"ZN3649901538",26.03.2006,369,57
520,"MU8070241821",07.01.2007,820,05
660,"RV6629008270",08.03.2008,950,26
656,"JJ3165684151",06.09.2006,493,95
950,"YZ0872248121",05.01.2006,782,8
1292,"VL1556219721",02.08.2007,925,81
919,"SS0142691819",07.01.2008,782,58
1055,"MY9061549254",08.04.2008,241,61
903,"DW3151797489",07.04.2008,333,49
1249,"TX2377053449",20.07.2008,401,96
1272,"MH7855097433",10.12.2007,233,05
687,"XM1019282052",06.09.2008,706,82
661,"BD1982143302",28.08.2007,364,71
1025,"AX8845606834",01.12.2008,604,27
1119,"YM4521879753",07.05.2008,250,93
1217,"BP5974892508",16.05.2006,523,14
544,"QU0813748421",20.06.2008,385,56
934,"HI2495410914",21.06.2007,865,21
1051,"QJ2117999973",17.08.2008,445,12
523,"HF9794607326",30.06.2006,940,13
1149,"AB9714646497",01.08.2008,784,98
1165,"HJ3164635476",24.08.2008,555,19
535,"DH2694899340",04.02.2006,890,46
734,"OF5585253929",13.03.2008,632,31
828,"CB2988580721",14.03.2008,321,54
1052,"DU1658059992",15.07.2007,266,53
573,"PR9611105844",14.04.2008,216,46
1092,"FX8033696757",19.09.2006,711,37
552,"WK4238632930",11.03.2007,251,22
534,"LZ1548565497",17.05.2008,932,72
1159,"RK5542326338",14.05.2006,739,98
1182,"NT8109228419",27.02.2008,455,45
807,"XQ4974566653",20.09.2006,756,34
789,"OT6494088862",13.10.2008,695,45
887,"AL5140731511",03.02.2008,405,85
1268,"BZ8082550316",10.06.2007,466,73
678,"QY9635039459",16.06.2007,337,66
1139,"VO1854699666",28.07.2008,731,22
977,"YS6307668990",11.08.2007,296,03
1034,"XM2765439892",02.10.2006,570,89
1174,"KR5598533149",30.06.2006,231,97
562,"LV1925638997",30.11.2006,251,36
1191,"EA7695060525",18.01.2007,671,44
853,"JA3779445331",19.07.2008,770,2
873,"NS6512507060",14.11.2007,918,32
804,"TU3489756075",01.03.2006,286,59
871,"WN0698536053",21.08.2007,308,29
680,"RX3249566953",11.11.2007,963,12
1251,"FQ8983519718",23.03.2008,375,09
1182,"BO0589594692",16.08.2008,869,62
528,"SL5875676474",08.11.2008,490,96
1274,"YX5072871122",02.07.2006,942,77
1226,"WX0824919762",17.01.2007,749,72
533,"QR9410820830",04.02.2008,427,91
883,"VJ8759017690",01.11.2006,825,01
1145,"AO9086846793",16.06.2006,786,82
853,"VK8176075055",15.07.2007,705,11
589,"LI3397020970",21.11.2008,798,54
576,"WZ1552851793",23.12.2007,631,92
1058,"PS8874737714",30.06.2006,351,32
1233,"EF8581430166",01.01.2008,503,57
920,"LU8788012563",27.10.2006,679,13
785,"VR6420799324",29.07.2008,688,26
524,"BP4713635341",12.10.2008,780,81
675,"TJ5262138986",14.05.2008,691,89
851,"HT5995360862",02.03.2008,525,6
890,"NR8699972050",14.11.2008,272,19
545,"JN9370547658",10.02.2007,747,65
795,"KX0839630431",26.02.2006,249,72
1044,"FF8997907950",26.09.2007,510,55
684,"DZ6955234213",24.10.2007,679,14
705,"ZE0009680017",09.12.2006,332,31
1113,"RV9371741166",23.01.2008,263,49
1217,"LH4323885822",13.07.2006,554,15
851,"GE1186059500",17.06.2006,969,97
525,"HQ6366698664",22.05.2008,857,78
698,"VG0774030085",26.12.2008,988,86
653,"MF5141633686",16.07.2006,440,27
582,"AO0757188229",05.11.2006,713,21
654,"EM2799592709",05.12.2006,390,75
559,"CC9573480764",11.02.2008,364
798,"UF8141396278",10.10.2007,630,03
1240,"ZM7991986256",13.09.2008,684,52
743,"WO5264549319",27.04.2007,820,8
1099,"YP7362493279",27.05.2006,635,59
501,"WD3390776061",11.07.2006,585,9
1226,"ZV3415100977",22.04.2007,685,78
709,"HA5554830341",15.02.2008,232,11
1216,"IE5327711339",15.08.2008,361,48
1219,"FX4275720427",04.06.2006,418,06
962,"QR4497295876",15.06.2008,246,08
1174,"XI0937258171",18.10.2007,477,99
1170,"XC2008725460",06.10.2008,450,83
512,"TM6947389496",04.11.2006,666,12
904,"DE0907555611",16.04.2008,967,16
878,"LD6632933030",11.03.2006,872,74
1164,"SU9835003409",12.06.2007,305,61
1269,"JK4049393709",10.09.2008,828,55
1156,"NV8293870739",10.06.2006,676,32
1026,"YH8679753495",28.12.2008,311,88
1250,"AY2407322383",26.08.2008,324,95
1259,"WM0731744805",29.08.2006,652,14
582,"FF5215155815",22.09.2007,948,1
684,"PV5538417626",03.06.2007,733,69
880,"AH3466641345",31.12.2006,835,56
1295,"QG3805404900",24.05.2006,394,08
704,"JB9906587242",09.06.2007,958,8
835,"NE0806661745",07.03.2008,235,33
837,"VA6468618945",01.04.2007,510,43
796,"FW5071975726",13.04.2007,469,35
1164,"HC6143805113",16.11.2006,434,99
1269,"UC8548718019",16.07.2006,354,46
861,"OT9851918495",20.10.2007,737,93
1088,"JV3367904283",30.09.2008,295,74
595,"NJ9827186822",31.08.2007,259,16
878,"RI2573636888",27.12.2008,230,6
1064,"HH7269669084",21.06.2006,204,82
604,"UX7320476227",16.03.2006,348,84
1264,"OQ0230292657",27.01.2006,695,12
1277,"PJ8466061244",26.11.2008,957,22
1190,"DE9302911828",25.08.2006,954,31
702,"TT8131250327",06.03.2006,439,95
1163,"RX0269402540",29.04.2006,595,26
1058,"ZO5594908839",06.02.2008,438,39
667,"LT8581334585",01.10.2008,983,27
1100,"LA5072623069",10.02.2007,228,97
1030,"VU2072674551",14.08.2006,352,23
627,"OF8057512693",17.03.2007,861
977,"RO2967941948",07.07.2008,639,33
1098,"ES6528439551",03.01.2007,984,9
713,"MX0564441655",14.05.2008,357,87
705,"QV1521465477",13.05.2008,696,9
826,"GX6163159776",15.07.2006,681,78
1268,"WG0782133737",15.10.2006,606,91
679,"RC8220107574",16.11.2006,531,55
893,"VO6006651397",09.07.2008,945,49
1136,"YC4155521941",19.02.2007,468,28
594,"HS5471971445",09.02.2006,517,29
626,"YA8179794034",03.06.2006,280,64
631,"LX3590872607",23.05.2007,330,97
687,"UQ4641105930",10.06.2006,929,52
1265,"QO6369903990",29.12.2006,840,33
587,"QA1564813724",17.07.2007,855,27
586,"LH1496793434",19.11.2006,765,31
652,"QT1522511240",03.04.2006,395,08
1223,"KL7333557466",27.06.2008,478,53
867,"VQ3309406549",27.11.2007,260,62
1266,"UN2492242946",15.07.2006,590,94
771,"VA7971390680",09.02.2007,332,06
682,"FA1596041543",07.04.2006,498,8
721,"DO7789428222",14.02.2008,687,9
877,"LP3501572088",01.04.2006,513,96
988,"ZF7251135151",01.08.2006,659,99
1086,"UA4631819765",22.10.2008,641,65
529,"PX9750949763",10.05.2008,628,45
612,"FT1999341527",12.05.2007,941,94
1189,"NF4350644771",05.10.2008,503,82
1020,"FP6063782413",30.08.2007,565,36
923,"CY4815872920",03.08.2006,831,35
1174,"BN6706877423",24.11.2006,837,88
676,"GT4755993311",12.06.2006,447,52
902,"DE6739021053",05.11.2007,837,73
582,"IM9615588101",01.12.2006,668,8
975,"FT8714850111",29.06.2007,402,92
706,"UL0180362577",10.06.2006,951,2
1196,"IB8887138269",07.06.2006,488,24
1055,"PC8861348323",16.03.2008,870,51
970,"AX8890203579",21.04.2006,500,67
795,"YJ3930147417",04.02.2007,594,09
795,"BO8989223890",17.11.2008,932,47
1127,"IT4488151961",07.01.2007,790,55
799,"VT1413090622",19.12.2007,735,46
783,"NB2542464909",22.11.2008,405,32
1092,"YI3246719828",18.08.2008,682,24
1287,"DQ4816671779",31.07.2007,968,37
1088,"YJ9882069640",25.05.2008,696,89
914,"AQ1469288153",24.09.2007,746,01
709,"LL4750169412",17.01.2006,652,75
523,"TK6894168061",08.04.2008,347,2
900,"WN3290432772",19.12.2007,283,25
932,"MN0530167824",23.03.2008,604,54
1144,"EC9213331477",08.09.2008,880,42
758,"UI4994234761",10.11.2006,911,47
851,"NE2968915647",28.04.2008,816,37
887,"VB5641149699",14.03.2008,567,22
1147,"KW1359525360",02.08.2006,863,13
1078,"XB5100837140",30.06.2007,707,05
735,"MV8950476207",06.01.2008,860,7
